Linie;StartID;StartHaltestelle;StartOrt;EndID;EndHaltestelle;EndOrt;LinienName;LineRef
1;de:08212:13;Heide;Neureut (Karlsruhe);de:08212:18;Turmberg;Durlach;Straßenbahn 1;21001
2;de:08212:240;Nord;Knielingen;de:08212:4500;Nord;Wolfartsweier;Straßenbahn 2;21002
3;de:08212:308;Rappenwört;Daxlanden;de:08212:314;Rintheim;Rintheim;Straßenbahn 3;21003
4;de:08212:611;Badeniaplatz;Oberreut (Karlsruhe);de:08212:3012;Europäische Schule;Waldstadt (Karlsrh.);Straßenbahn 4;21004
5;de:08212:501;Rheinhafen;Karlsruhe;de:08212:802;Bahnhof;Durlach;Straßenbahn 5;21005
S1;de:08215:1157;Hochstetten;Hochstetten (Link.);de:08235:9558;Bahnhof;Bad Herrenalb;S-Bahn S1;21010
S11;de:08215:1157;Hochstetten;Hochstetten (Link.);de:08215:1409;Ittersbach;Ittersbach;S-Bahn S11;22011
S2;de:08215:1501;Bach-West;Mörsch (Rheinstett.);de:08215:32296;Richard-Hecht-Schule;Spöck (Kr Karlsruhe);S-Bahn S2;21012
S4;de:08212:1201;Albtalbahnhof;Karlsruhe;de:08125:5404;Eppingen;Eppingen;S-Bahn S4;22014
S5;de:07334:1738;Badepark;Wörth (Rhein);de:08231:50;Hauptbahnhof;Pforzheim;S-Bahn S5;22015
S51;de:07334:32637;Bahnhof;Germersheim;de:08215:1617;Söllingen (b. Karlsruhe);Söllingen (b Karlsr);S-Bahn S51;22051
S31;de:08212:90;Hauptbahnhof;Karlsruhe;de:08215:31008;Bahnhof Odenheim;Odenheim;S-Bahn S31;22031
S32;de:08212:90;Hauptbahnhof;Karlsruhe;de:08215:32009;Bahnhof Menzingen;Menzingen (Baden);S-Bahn S32;22032
S12;de:08212:501;Rheinhafen;Karlsruhe;de:08215:1409;Ittersbach;Ittersbach;S-Bahn S12;22012